Car,order_date
Renault Zoe (2022),2015-11-06 10:04:06.932102
Tesla Model Y (2023),2023-07-05 10:04:06.934096
Peugeot 2008 (2023),2023-01-07 10:04:06.935110
Hyundai Tucson (2020),2017-08-25 10:04:06.936097
Volkswagen ID.3 (2022),2022-04-18 10:04:06.937098
Mini Cooper (2020),2019-12-03 10:04:06.938151
MG ZS EV (2022),2023-06-01 10:04:06.939099
Hyundai Kona (2021),2025-05-29 10:04:06.939099
Nissan Juke (2021),2023-06-27 10:04:06.940607
Toyota C-HR (2022),2016-12-29 10:04:06.941616
Opel Mokka (2021),2019-08-13 10:04:06.942620
Renault Clio (2020),2016-09-26 10:04:06.943628
Skoda Enyaq (2023),2025-03-08 10:04:06.944628
Mazda MX-30 (2022),2025-01-29 10:04:06.945627
Cupra Formentor (2022),2024-04-29 10:04:06.946616
Opel Mokka (2021),2020-05-07 10:04:06.947617
Skoda Kodiaq (2019),2022-12-10 10:04:06.948616
MG ZS EV (2022),2019-07-10 10:04:06.949615
Tesla Model 3 (2022),2022-03-23 10:04:06.950626
Volvo XC40 (2022),2021-10-25 10:04:06.951615
Mazda Mazda3 (2020),2019-12-08 10:04:06.952614
Peugeot e-208 (2023),2021-02-13 10:04:06.953614
Peugeot 308 (2016),2017-12-04 10:04:06.954613
Jaguar E-PACE (2022),2016-07-13 10:04:06.955613
Hyundai i30 (2016),2016-10-30 10:04:06.956613
Mercedes EQC (2022),2022-07-10 10:04:06.956613
Volkswagen ID.3 (2022),2018-03-12 10:04:06.957613
Mercedes A-Class (2021),2024-06-07 10:04:06.958613
Volkswagen Golf (2019),2016-05-29 10:04:06.959613
Peugeot 308 (2016),2018-02-27 10:04:06.960613
Mazda MX-30 (2022),2018-08-23 10:04:06.961613
Fiat 500X (2019),2020-06-14 10:04:06.962636
Mazda MX-30 (2022),2020-08-30 10:04:06.963630
Fiat 500X (2019),2022-10-08 10:04:06.964628
Opel Astra (2017),2022-10-12 10:04:06.965628
Volkswagen ID.4 (2023),2022-02-07 10:04:06.965628
Hyundai Tucson (2020),2025-02-22 10:04:06.966627
BMW 3 Series (2018),2024-10-17 10:04:06.967627
Tesla Model Y (2023),2022-02-08 10:04:06.968627
Smart EQ ForTwo (2022),2024-05-27 10:04:06.969627
Fiat Panda (2020),2018-10-17 10:04:06.970627
Fiat Panda (2020),2018-08-16 10:04:06.970627
Mazda MX-30 (2022),2023-12-16 10:04:06.971614
Volvo C40 Recharge (2023),2020-03-29 10:04:06.972628
Skoda Enyaq (2023),2019-08-22 10:04:06.973628
Kia EV6 (2022),2024-03-25 10:04:06.974628
Mini Countryman (2022),2021-06-05 10:04:06.974628
Hyundai i30 (2016),2019-08-29 10:04:06.975627
Mercedes EQB (2023),2022-05-07 10:04:06.976627
Tesla Model 3 (2022),2019-10-16 10:04:06.977628
Lexus NX (2023),2016-12-31 10:04:06.978630
Hyundai Tucson (2020),2020-10-12 10:04:06.979629
Ford Kuga (2020),2017-11-16 10:04:06.979629
Mercedes C-Class (2019),2015-12-31 10:04:06.980629
Volvo XC60 (2015),2020-09-16 10:04:06.981627
Mazda MX-5 (2019),2019-10-11 10:04:06.982627
Peugeot e-208 (2023),2020-11-08 10:04:06.983627
Mazda CX-5 (2019),2020-04-05 10:04:06.984627
Lexus NX (2023),2018-08-23 10:04:06.984627
Fiat Panda (2020),2016-08-03 10:04:06.985627
Skoda Enyaq (2023),2020-02-04 10:04:06.986627
Volkswagen ID.3 (2022),2018-11-29 10:04:06.987629
Ford Focus (2018),2024-05-22 10:04:06.988630
BMW 3 Series (2018),2019-04-20 10:04:06.988630
Renault Clio (2020),2017-03-28 10:04:06.989628
Tesla Model Y (2023),2021-06-14 10:04:06.990628
Mazda MX-5 (2019),2024-09-16 10:04:06.991627
Mercedes C-Class (2019),2023-04-17 10:04:06.992627
Subaru Impreza (2019),2019-10-03 10:04:06.993627
BMW X1 (2021),2017-06-16 10:04:06.993627
