make,model,year,image_url,standardPrice,engine,fuelType,body
Peugeot,e-208,2023,https://www.peugeot.ie/content/dam/peugeot/master/b2c/our-range/showroom/208/2023-10-new-208/desktop/D_SR_208_Motorisation_Electrique.jpg,26000,Electric,Electric,5DR
Renault,Zoe,2022,https://www.carscoops.com/wp-content/uploads/2022/06/2022-Renault-Zoe-2s.jpg,38000,Electric,Electric,5DR
Hyundai,IONIQ 5,2023,https://car-images.bauersecure.com/wp-images/13207/1056x594/hyundai_ioniq_5_review_74.jpg,62000,Electric,Electric,SUV
Kia,EV6,2022,https://www.cnet.com/a/img/resize/132c5bbc343aa557cd9837e2a8d86ce7c63869d7/hub/2021/10/29/88318f5f-2bdd-4248-a397-886823f8ebda/ogi-2022-kia-ev6-fd-5.png?auto=webp&fit=crop&height=675&width=1200,7000,Electric,Electric,SUV
Volkswagen,ID.4,2023,https://pictures.dealer.com/l/leesburgvolkswagenvw/0878/2111dc41f9c2e678d07579363e42e1a9x.jpg,57000,Electric,Electric,SUV
BMW,i4,2022,https://media.ed.edmunds-media.com/bmw/i4/2022/oem/2022_bmw_i4_sedan_edrive40_fq_oem_1_1600.jpg,70000,Electric,Electric,4DR
Nissan,Ariya,2023,https://www.edmunds.com/assets/m/nissan/ariya/2023/oem/2023_nissan_ariya_4dr-suv_platinumplus-e-4orce_fq_oem_1_600.jpg,54000,Electric,Electric,SUV
Fiat,500e,2021,https://www.completecar.ie/img/news/9911_large.jpg,23000,Electric,Electric,3DR
Skoda,Enyaq,2023,,43000,Electric,Electric,SUV
Mazda,MX-30,2022,,45000,Electric,Electric,SUV
Volvo,C40 Recharge,2023,,17000,Electric,Electric,SUV
Mercedes,EQC,2022,,46000,Electric,Electric,SUV
Honda,e,2021,,31000,Electric,Electric,3DR
Cupra,Born,2023,,62000,Electric,Electric,5DR
Smart,EQ ForTwo,2022,,55000,Electric,Electric,2DR
Tesla,Model Y,2023,,54000,Electric,Electric,SUV
Jeep,Renegade,2021,,17000,1.6,Diesel,SUV
Subaru,Forester,2020,,55000,2.0,Petrol,SUV
Dacia,Sandero,2022,,65000,1.0,Petrol,5DR
Alfa Romeo,Stelvio,2021,,54000,2.2,Diesel,SUV
Mini,Countryman,2022,,70000,1.5,Hybrid,5DR
Lexus,NX,2023,,22000,2.5,Hybrid,SUV
Fiat,Panda,2020,,62000,0.9,Petrol,5DR
Mazda,MX-5,2019,,33000,2.0,Petrol,2DR
Jaguar,F-PACE,2021,,8000,2.0,Petrol,SUV
Volvo,XC40,2022,,5000,Electric,Electric,SUV
